Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Monte Morris
						
					",2015,51,"6'1 ½""","6'3""","6'5""","8'1""",-,-,-,-,175,-,-,-,-,-,-,/profile/Monte-Morris-72551/,Monte-Morris-72551
"
						
							Melo Trimble
						
					",2015,-,"6'1 ½""","6'2""","6'2""",-,-,-,-,-,185,-,-,-,-,-,-,/profile/Melo-Trimble-7258/,Melo-Trimble-7258
"
						
							Juan'ya Green
						
					",2016,-,"6'1 ½""","6'3""","6'7 ½""","8'3""",-,-,"28""","10'7""",198,-,-,-,-,11.31,3.41,/profile/Juan-ya-Green-41594/,Juan-ya-Green-41594
"
						
							Retin Obasohan
						
					",2016,-,"6'1 ½""","6'3""","6'8""","8'3""",-,-,"31""","10'10""",224,-,-,-,-,10.81,3.21,/profile/Retin-Obasohan-40514/,Retin-Obasohan-40514
"
						
							D'Vauntes Smith-Rivera
						
					",2016,-,"6'1 ½""","6'2 ½""","6'4""","8'1""",-,-,"24.5""","10'1 ½""",215,-,-,-,-,11.68,3.48,/profile/D-Vauntes-Smith-Rivera-6452/,D-Vauntes-Smith-Rivera-6452
"
						
							Gabe York
						
					",2016,-,"6'1 ½""","6'3""","6'4 ½""","8'0 ½""",-,-,"30""","10'6 ½""",187,-,-,-,-,10.73,3.3,/profile/Gabe-York-6443/,Gabe-York-6443
"
						
							Cat Barber
						
					",2016,-,"6'1 ½""","6'2 ¾""","6'5 ½""","7'11 ½""",-,-,-,-,173,4.5,"8""","8.5""",-,-,-,/profile/Cat-Barber-7067/,Cat-Barber-7067
"
						
							Matteo Nicoli
						
					",2016,-,"6'1 ½""","6'2 ½""","6'5""","8'2 ½""","25""","10'3 ½""","23""","10'1 ½""",150,-,-,-,-,12.26,3.62,/profile/Matteo-Nicoli-98740/,Matteo-Nicoli-98740
"
						
							Davide Pucci
						
					",2016,-,"6'1 ½""",-,"6'1 ½""","7'10""",-,-,-,-,183,-,-,-,-,-,-,/profile/Davide-Pucci-102170/,Davide-Pucci-102170
"
						
							Kadeem Allen
						
					",2017,53,"6'1 ½""","6'3""","6'9""","8'5""",-,-,"29""","10'10""",189,-,-,-,-,11.15,3.27,/profile/Kadeem-Allen-69504/,Kadeem-Allen-69504
