Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Davin White,Canarias,35,22.7,18.4,2.5,6.2,40.2%,3.2,9.5,33.9%,3.7,4.4,83.3%,0.3,2.2,2.5,7.9,1.1,0.1,3.2,4.1,/profile/Davin-White-30194/,/stats/acb/2017/Canarias,2017,acb,Davin-White-30194,Canarias
Jerome Jordan,Joventut,26,22.9,18.3,6.4,10.8,59.1%,0.0,0.0,0.0%,5.6,7.1,78.8%,3.2,6.7,9.9,1.8,1.6,1.4,3.6,5.3,/profile/Jerome-Jordan-5160/,/stats/acb/2017/Joventut,2017,acb,Jerome-Jordan-5160,Joventut
Rosco Allen,Obradoiro,23,24.2,18.3,4.5,9.4,48.0%,1.8,5.5,32.4%,3.9,5.5,71.6%,2.4,4.1,6.4,1.6,1.0,0.4,2.6,3.7,/profile/Rosco-Allen-6278/,/stats/acb/2017/Obradoiro,2017,acb,Rosco-Allen-6278,Obradoiro
Tornike Shengelia,Vitoria,31,22.1,18.1,5.9,10.9,54.1%,0.7,2.1,32.4%,4.3,6.2,69.4%,2.1,6.3,8.4,2.2,1.7,0.8,3.5,4.1,/profile/Tornike-Shengelia-5533/,/stats/acb/2017/Vitoria,2017,acb,Tornike-Shengelia-5533,Vitoria
Marc Garcia,Sevilla,17,9.2,18.1,2.6,5.4,47.6%,2.8,6.7,42.3%,4.4,5.9,73.9%,0.5,2.8,3.4,2.1,0.5,0.3,2.6,1.8,/profile/Marc-Garcia-62915/,/stats/acb/2017/Sevilla,2017,acb,Marc-Garcia-62915,Sevilla
Francisco Cruz,Fuenlabrada,31,19.4,18.1,5.7,10.9,52.1%,1.6,5.5,28.6%,2.0,2.6,76.9%,1.0,2.2,3.1,4.1,1.2,0.0,4.1,4.7,/profile/Francisco-Cruz-16283/,/stats/acb/2017/Fuenlabrada,2017,acb,Francisco-Cruz-16283,Fuenlabrada
David Jelinek,Andorra,35,20.9,18.1,4.6,9.3,49.7%,2.2,6.4,33.6%,2.4,3.0,78.9%,0.4,3.2,3.6,3.1,1.0,0.1,3.4,4.3,/profile/David-Jelinek-1348/,/stats/acb/2017/Andorra,2017,acb,David-Jelinek-1348,Andorra
Fernando San Emeterio,Valencia,43,23.2,18.0,4.3,8.6,49.8%,1.6,4.4,36.1%,4.7,5.7,82.9%,0.7,3.9,4.6,3.8,0.8,0.0,2.8,1.8,/profile/Fernando-San-Emeterio-5391/,/stats/acb/2017/Valencia,2017,acb,Fernando-San-Emeterio-5391,Valencia
Adam Waczynski,Malaga,30,18.5,17.8,3.0,5.0,58.8%,3.5,7.9,43.9%,1.4,2.2,63.3%,2.1,3.3,5.4,2.3,1.4,0.1,1.9,3.9,/profile/Adam-Waczynski-39000/,/stats/acb/2017/Malaga,2017,acb,Adam-Waczynski-39000,Malaga
Marcus Eriksson,Barcelona,33,15.2,17.7,2.5,3.8,66.0%,3.7,8.3,44.1%,1.7,1.9,91.3%,0.7,3.2,3.9,2.7,1.0,0.3,1.1,4.2,/profile/Marcus-Eriksson-6114/,/stats/acb/2017/Barcelona,2017,acb,Marcus-Eriksson-6114,Barcelona
Henk Norel,Zaragoza,29,23.5,17.5,7.5,12.2,61.4%,0.0,0.0,0.0%,2.5,3.2,76.4%,4.1,6.4,10.5,1.9,0.6,1.1,2.3,4.8,/profile/Henk-Norel-1156/,/stats/acb/2017/Zaragoza,2017,acb,Henk-Norel-1156,Zaragoza
Jose Nogues,Joventut,5,0.9,17.4,8.7,8.7,100.0%,0.0,8.7,0.0%,0.0,0.0,0.0%,0.0,17.4,17.4,0.0,0.0,0.0,0.0,17.4,/profile/Jose-Nogues-61894/,/stats/acb/2017/Joventut,2017,acb,Jose-Nogues-61894,Joventut
Jonathan Holmes,Barcelona,3,18.1,17.3,3.0,5.3,57.1%,3.8,6.0,62.5%,0.0,0.0,0.0%,0.0,8.3,8.3,0.0,1.5,2.3,6.8,8.3,/profile/Jonathan-Holmes-42028/,/stats/acb/2017/Barcelona,2017,acb,Jonathan-Holmes-42028,Barcelona
Jonathan Tabu,Bilbao,28,22.8,17.3,2.8,6.1,45.4%,2.9,7.8,37.9%,2.9,3.7,79.7%,0.9,2.9,3.8,6.4,1.8,0.1,3.5,4.9,/profile/Jonathan-Tabu-5907/,/stats/acb/2017/Bilbao,2017,acb,Jonathan-Tabu-5907,Bilbao
