Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Sotiris Karapostolou,Aris,25,17.4,11.7,4.7,10.8,0.18,5.6,72.0,7.7%,0.89,0.75,0.29,0.37,0.17,/profile/Sotiris-Karapostolou-38191/,/stats/greek/2013/Aris,2013,greek,Sotiris-Karapostolou-38191,Aris
Chris Booker,Panionios,36,17.3,15.8,6.5,15.0,1.56,5.3,71.6,7.5%,1.14,0.91,0.32,0.12,0.17,/profile/Chris-Booker-30860/,/stats/greek/2013/Panionios,2013,greek,Chris-Booker-30860,Panionios
Bambale Osby,Rhodes,13,17.2,22.2,9.7,22.5,1.27,7.8,73.9,10.5%,1.12,0.60,0.56,0.02,0.23,/profile/Bambale-Osby-25078/,/stats/greek/2013/Rhodes,2013,greek,Bambale-Osby-25078,Rhodes
Dominique Morrison,Ilisiakos,11,17.2,12.2,5.5,12.7,0.13,7.1,73.4,9.7%,0.91,0.90,0.20,0.09,0.09,/profile/Dominique-Morrison-18013/,/stats/greek/2013/Ilisiakos,2013,greek,Dominique-Morrison-18013,Ilisiakos
Giannis Georgalis,Rhodes,25,17.2,7.6,4.8,11.2,-0.70,4.6,73.9,6.2%,0.73,0.73,0.28,0.21,0.21,/profile/Giannis-Georgalis-37339/,/stats/greek/2013/Rhodes,2013,greek,Giannis-Georgalis-37339,Rhodes
Sotiris Manolopoulos,Kavala,17,17.1,11.8,5.1,12.0,0.15,7.4,74.1,10.0%,0.92,0.80,0.28,0.12,0.15,/profile/Sotiris-Manolopoulos-334/,/stats/greek/2013/Kavala,2013,greek,Sotiris-Manolopoulos-334,Kavala
Kyle Hines,Olympiakos,33,17.0,24.8,10.7,25.1,3.92,5.9,73.9,8.0%,1.26,0.75,0.49,0.12,0.18,/profile/Kyle-Hines-513/,/stats/greek/2013/Olympiakos,2013,greek,Kyle-Hines-513,Olympiakos
Josh Powell,Olympiakos,26,16.7,20.8,9.6,22.9,2.15,6.8,73.9,9.3%,1.15,0.81,0.35,0.08,0.15,/profile/Josh-Powell-5190/,/stats/greek/2013/Olympiakos,2013,greek,Josh-Powell-5190,Olympiakos
Kostas Tsartsaris,Panathinaikos,31,16.7,20.8,9.2,22.0,2.58,5.0,70.8,7.0%,1.14,0.72,0.41,0.27,0.21,/profile/Kostas-Tsartsaris-5590/,/stats/greek/2013/Panathinaikos,2013,greek,Kostas-Tsartsaris-5590,Panathinaikos
Xavier Gibson,Panelefsiniakos,15,16.6,15.1,6.5,15.8,0.53,8.6,72.0,12.0%,0.97,0.84,0.28,0.05,0.19,/profile/Xavier-Gibson-5797/,/stats/greek/2013/Panelefsiniakos,2013,greek,Xavier-Gibson-5797,Panelefsiniakos
Jaytornah Wisseh,Ilisiakos,2,16.5,-5.4,1.0,2.4,-0.27,8.1,73.4,11.0%,0.31,0.74,0.00,0.31,0.43,/profile/Jaytornah-Wisseh-21878/,/stats/greek/2013/Ilisiakos,2013,greek,Jaytornah-Wisseh-21878,Ilisiakos
Georgos Tsiakos,Panelefsiniakos,23,16.4,13.0,6.3,15.5,0.41,5.9,72.0,8.2%,1.00,0.66,0.41,0.09,0.29,/profile/Georgos-Tsiakos-5924/,/stats/greek/2013/Panelefsiniakos,2013,greek,Georgos-Tsiakos-5924,Panelefsiniakos
Derwin Kitchen,Panathinaikos,9,16.1,12.9,5.7,14.1,0.15,6.1,70.8,8.6%,0.86,0.81,0.29,0.35,0.16,/profile/Derwin-Kitchen-19921/,/stats/greek/2013/Panathinaikos,2013,greek,Derwin-Kitchen-19921,Panathinaikos
Harper Kamp,Panelefsiniakos,14,15.9,10.3,5.4,13.7,-0.06,4.9,72.0,6.8%,1.00,0.79,0.12,0.06,0.22,/profile/Harper-Kamp-6474/,/stats/greek/2013/Panelefsiniakos,2013,greek,Harper-Kamp-6474,Panelefsiniakos
Shane Walker,Apollon,2,15.8,4.4,2.0,5.1,-0.10,6.9,74.4,9.3%,0.65,0.73,0.58,0.07,0.15,/profile/Shane-Walker-19036/,/stats/greek/2013/Apollon,2013,greek,Shane-Walker-19036,Apollon
Nikos Hatzis,Ilisiakos,26,15.8,18.4,5.9,14.9,1.55,6.3,73.4,8.6%,1.14,0.78,0.49,0.13,0.11,/profile/Nikos-Hatzis-36290/,/stats/greek/2013/Ilisiakos,2013,greek,Nikos-Hatzis-36290,Ilisiakos
