Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Nikos Angelopoulos,Kavala,26,18.4,8.2,1.9,3.8,50.0%,0.9,3.5,25.6%,1.8,2.7,66.7%,2.0,5.0,6.9,1.3,1.5,0.1,1.7,5.9,/profile/Nikos-Angelopoulos-37531/,/stats/greek/2010/Kavala,2010,greek,Nikos-Angelopoulos-37531,Kavala
Vassil Evtimov,Panionios,4,10.0,8.1,4.1,8.1,50.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,6.1,14.2,20.3,3.0,1.0,0.0,1.0,6.1,/profile/Vassil-Evtimov-36508/,/stats/greek/2010/Panionios,2010,greek,Vassil-Evtimov-36508,Panionios
Marios Batis,Maroussi,33,16.1,8.1,1.2,2.3,51.6%,1.3,4.8,26.6%,1.9,2.5,75.8%,0.5,3.6,4.1,3.9,1.1,0.3,2.7,6.5,/profile/Marios-Batis-35532/,/stats/greek/2010/Maroussi,2010,greek,Marios-Batis-35532,Maroussi
Wade Helliwell,PAOK,25,8.2,8.0,2.7,5.9,46.7%,0.0,0.0,0.0%,2.5,5.9,43.3%,2.0,4.3,6.3,0.8,0.4,0.2,1.8,10.4,/profile/Wade-Helliwell-37125/,/stats/greek/2010/PAOK,2010,greek,Wade-Helliwell-37125,PAOK
Giannis Prodromou,Trikala,14,4.5,8.0,2.5,6.8,36.4%,0.0,0.6,0.0%,3.1,4.9,62.5%,1.2,4.3,5.5,0.6,1.8,0.6,1.2,11.7,/profile/Giannis-Prodromou-39845/,/stats/greek/2010/Trikala,2010,greek,Giannis-Prodromou-39845,Trikala
Christos Vidalis,Ilisiakos,9,2.2,8.0,2.0,4.0,50.0%,0.0,8.0,0.0%,4.0,8.0,50.0%,2.0,0.0,2.0,8.0,4.0,0.0,8.0,8.0,/profile/Christos-Vidalis-36628/,/stats/greek/2010/Ilisiakos,2010,greek,Christos-Vidalis-36628,Ilisiakos
Giorgos Diamantopoulos,Maroussi,4,7.7,7.8,0.0,1.3,0.0%,2.6,10.4,25.0%,0.0,0.0,0.0%,0.0,1.3,1.3,1.3,1.3,0.0,1.3,5.2,/profile/Giorgos-Diamantopoulos-36763/,/stats/greek/2010/Maroussi,2010,greek,Giorgos-Diamantopoulos-36763,Maroussi
Dimitrios Marmarinos,Trikala,9,8.6,7.6,3.0,11.1,27.3%,0.0,1.0,0.0%,1.5,4.0,37.5%,1.5,3.5,5.0,1.5,2.5,0.5,4.0,15.6,/profile/Dimitrios-Marmarinos-37277/,/stats/greek/2010/Trikala,2010,greek,Dimitrios-Marmarinos-37277,Trikala
Avraam Kallinikidis,AEK Athens,26,27.2,7.5,2.5,5.3,47.4%,0.3,1.2,27.3%,1.5,2.1,68.4%,2.4,4.2,6.6,1.6,1.4,0.1,2.3,4.2,/profile/Avraam-Kallinikidis-38674/,/stats/greek/2010/AEK%20Athens,2010,greek,Avraam-Kallinikidis-38674,AEK%20Athens
Giorgos Papadakis,Ilisiakos,5,9.8,7.4,0.8,3.3,25.0%,1.6,4.1,40.0%,0.8,1.6,50.0%,2.5,0.8,3.3,1.6,1.6,0.0,1.6,5.8,/profile/Giorgos-Papadakis-39850/,/stats/greek/2010/Ilisiakos,2010,greek,Giorgos-Papadakis-39850,Ilisiakos
Scoonie Penn,Olympiakos,24,21.0,7.3,1.0,2.0,52.0%,1.5,3.4,44.2%,0.8,0.8,100.0%,0.9,2.3,3.1,3.2,2.2,0.1,1.3,4.9,/profile/Scoonie-Penn-5329/,/stats/greek/2010/Olympiakos,2010,greek,Scoonie-Penn-5329,Olympiakos
Vangelis Margaritis,Peristeri,17,5.9,7.2,2.8,6.8,41.2%,0.4,2.0,20.0%,0.4,2.8,14.3%,2.8,7.6,10.5,2.4,4.8,0.8,2.0,13.7,/profile/Vangelis-Margaritis-36506/,/stats/greek/2010/Peristeri,2010,greek,Vangelis-Margaritis-36506,Peristeri
Thomas Nikou,Kavala,10,4.4,7.1,0.0,3.6,0.0%,1.8,1.8,100.0%,1.8,1.8,100.0%,0.0,0.9,0.9,3.6,0.9,0.0,4.4,5.3,/profile/Thomas-Nikou-40102/,/stats/greek/2010/Kavala,2010,greek,Thomas-Nikou-40102,Kavala
Ioannis Demertzis,PAOK,25,11.2,6.9,1.7,3.1,54.5%,0.9,2.7,31.6%,0.9,1.1,75.0%,0.7,5.0,5.7,4.1,1.4,0.3,2.4,5.9,/profile/Ioannis-Demertzis-39148/,/stats/greek/2010/PAOK,2010,greek,Ioannis-Demertzis-39148,PAOK
Mike Benton,Ilisiakos,9,11.5,6.6,2.3,9.4,25.0%,0.0,0.0,0.0%,2.0,2.7,71.4%,3.9,5.9,9.8,1.2,1.2,3.5,2.3,4.7,/profile/Mike-Benton-31712/,/stats/greek/2010/Ilisiakos,2010,greek,Mike-Benton-31712,Ilisiakos
Theofanis Papakostas,Larissa,21,5.4,6.6,1.4,2.8,50.0%,0.7,2.4,28.6%,1.7,3.5,50.0%,3.1,4.8,7.9,0.0,0.0,1.0,1.7,6.6,/profile/Theofanis-Papakostas-38208/,/stats/greek/2010/Larissa,2010,greek,Theofanis-Papakostas-38208,Larissa
Lazaros Agadakos,Peristeri,10,14.8,6.5,2.2,6.5,33.3%,0.0,0.0,0.0%,2.2,2.7,80.0%,3.5,2.4,6.0,0.5,1.1,0.0,4.9,6.8,/profile/Lazaros-Agadakos-35520/,/stats/greek/2010/Peristeri,2010,greek,Lazaros-Agadakos-35520,Peristeri
Christos Deligiannis,Peristeri,14,5.0,6.4,2.9,8.7,33.3%,0.0,0.0,0.0%,0.6,1.2,50.0%,3.5,2.9,6.4,0.6,1.7,0.6,2.9,11.5,/profile/Christos-Deligiannis-36626/,/stats/greek/2010/Peristeri,2010,greek,Christos-Deligiannis-36626,Peristeri
Panagiotis Kafkis,PAOK,25,14.1,6.3,1.6,4.4,35.9%,0.6,2.5,22.7%,1.5,3.2,46.4%,0.2,4.1,4.3,4.4,1.9,0.0,3.2,7.3,/profile/Panagiotis-Kafkis-37546/,/stats/greek/2010/PAOK,2010,greek,Panagiotis-Kafkis-37546,PAOK
Mark Dickel,Trikala,16,25.8,6.2,0.7,2.5,26.9%,1.0,3.8,27.5%,1.8,2.5,73.1%,0.4,3.7,4.1,6.0,2.2,0.0,2.4,4.0,/profile/Mark-Dickel-38851/,/stats/greek/2010/Trikala,2010,greek,Mark-Dickel-38851,Trikala
Georgios Kalaitzis,Panellinios,34,16.1,5.6,1.1,2.6,41.7%,0.6,2.6,22.9%,1.6,2.1,78.6%,0.7,4.1,4.9,4.3,2.4,0.1,4.3,5.7,/profile/Georgios-Kalaitzis-35971/,/stats/greek/2010/Panellinios,2010,greek,Georgios-Kalaitzis-35971,Panellinios
Giorgos Galiotos,Ilisiakos,9,4.8,5.6,0.9,7.4,12.5%,0.0,0.0,0.0%,3.7,3.7,100.0%,3.7,6.5,10.2,1.9,1.9,0.0,3.7,13.0,/profile/Giorgos-Galiotos-39849/,/stats/greek/2010/Ilisiakos,2010,greek,Giorgos-Galiotos-39849,Ilisiakos
Dustin Salisbery,Larissa,3,16.6,5.6,2.4,3.2,75.0%,0.0,3.2,0.0%,0.8,1.6,50.0%,0.8,1.6,2.4,0.8,1.6,0.8,4.8,1.6,/profile/Dustin-Salisbery-464/,/stats/greek/2010/Larissa,2010,greek,Dustin-Salisbery-464,Larissa
Quinton Day,Aris,2,11.5,5.5,0.0,7.3,0.0%,1.8,5.5,33.3%,0.0,0.0,0.0%,1.8,3.6,5.5,3.6,0.0,0.0,0.0,1.8,/profile/Quinton-Day-1125/,/stats/greek/2010/Aris,2010,greek,Quinton-Day-1125,Aris
Rolandas Alijevas,Larissa,7,8.4,5.4,0.7,5.4,12.5%,0.7,4.7,14.3%,2.0,2.7,75.0%,4.0,2.0,6.1,6.7,1.3,0.0,3.4,4.0,/profile/Rolandas-Alijevas-37591/,/stats/greek/2010/Larissa,2010,greek,Rolandas-Alijevas-37591,Larissa
William Avery,PAOK,5,17.2,5.1,0.5,3.3,14.3%,0.9,4.6,20.0%,1.4,3.3,42.9%,0.0,2.8,2.8,1.4,0.9,0.0,2.8,5.6,/profile/William-Avery-1555/,/stats/greek/2010/PAOK,2010,greek,William-Avery-1555,PAOK
Dimitris Agravanis,Maroussi,2,1.4,29.4,0.0,0.0,0.0%,0.0,14.7,0.0%,29.4,29.4,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/profile/Dimitris-Agravanis-42207/,/stats/greek/2011/Maroussi,2011,greek,Dimitris-Agravanis-42207,Maroussi
Nejc Strnad,Kavala,1,24.8,28.9,3.2,4.8,66.7%,6.4,14.4,44.4%,3.2,4.8,66.7%,0.0,1.6,1.6,6.4,0.0,0.0,1.6,1.6,/profile/Nejc-Strnad-38502/,/stats/greek/2011/Kavala,2011,greek,Nejc-Strnad-38502,Kavala
Stavros Toutziarakis,Ikaros,8,4.8,24.2,9.5,12.6,75.0%,0.0,1.1,0.0%,5.3,11.6,45.5%,5.3,5.3,10.5,2.1,0.0,0.0,2.1,13.7,/profile/Stavros-Toutziarakis-38959/,/stats/greek/2011/Ikaros,2011,greek,Stavros-Toutziarakis-38959,Ikaros
Aleks Maric,Panathinaikos,18,11.8,22.5,8.1,11.5,70.5%,0.0,0.0,0.0%,6.4,8.6,73.9%,3.4,6.8,10.1,1.9,3.6,1.1,3.2,6.4,/profile/Aleks-Maric-593/,/stats/greek/2011/Panathinaikos,2011,greek,Aleks-Maric-593,Panathinaikos
