Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Nemanja Bjelica,Vitoria,22,11.3,14.1,4.7,16.5,0.40,3.2,71.1,4.6%,1.19,0.84,0.13,0.15,0.21,/profile/Nemanja-Bjelica-5510/,/stats/acb/2011/Vitoria,2011,acb,Nemanja-Bjelica-5510,Vitoria
Nacho Llovet,Joventut,10,11.3,16.6,5.4,19.1,0.32,3.0,76.4,3.9%,1.33,0.83,0.43,0.17,0.13,/profile/Nacho-Llovet-40009/,/stats/acb/2011/Joventut,2011,acb,Nacho-Llovet-40009,Joventut
Jorge Garbajosa,Real Madrid,16,11.1,14.5,3.8,13.5,0.32,3.6,70.9,5.1%,1.08,1.01,0.17,0.09,0.05,/profile/Jorge-Garbajosa-5182/,/stats/acb/2011/Real%20Madrid,2011,acb,Jorge-Garbajosa-5182,Real%20Madrid
Joan Sastre,Sevilla,32,10.5,8.0,2.5,9.6,-0.47,3.0,72.4,4.2%,0.97,0.94,0.06,0.12,0.23,/profile/Joan-Sastre-6322/,/stats/acb/2011/Sevilla,2011,acb,Joan-Sastre-6322,Sevilla
Miquel Servera,Menorca,27,10.4,1.7,1.1,4.4,-1.27,3.5,71.6,4.9%,0.69,0.68,0.24,0.15,0.34,/profile/Miquel-Servera-40005/,/stats/acb/2011/Menorca,2011,acb,Miquel-Servera-40005,Menorca
Samuel Dominguez,Gran Canaria,7,10.2,6.4,2.1,8.4,-0.16,1.4,70.6,2.0%,1.20,1.00,0.00,0.10,0.30,/profile/Samuel-Dominguez-40063/,/stats/acb/2011/Gran%20Canaria,2011,acb,Samuel-Dominguez-40063,Gran%20Canaria
Novica Velickovic,Real Madrid,31,10.1,11.2,3.6,14.4,0.06,3.5,70.9,5.0%,0.82,0.82,0.28,0.16,0.24,/profile/Novica-Velickovic-5141/,/stats/acb/2011/Real%20Madrid,2011,acb,Novica-Velickovic-5141,Real%20Madrid
Billy Baptist,Manresa,2,10.1,16.1,5.0,19.9,0.05,4.4,70.9,6.3%,0.90,0.90,0.00,0.00,0.23,/profile/Billy-Baptist-39735/,/stats/acb/2011/Manresa,2011,acb,Billy-Baptist-39735,Manresa
Milt Palacio,Vitoria,6,9.9,3.9,1.2,4.7,-0.20,2.7,71.1,3.7%,0.63,0.81,0.38,0.44,0.19,/profile/Milt-Palacio-3857/,/stats/acb/2011/Vitoria,2011,acb,Milt-Palacio-3857,Vitoria
Juan Aguilar,Sevilla,5,9.9,-4.1,0.0,0.0,-0.37,2.4,72.4,3.3%,0.42,0.67,0.00,0.25,0.50,/profile/Juan-Aguilar-39512/,/stats/acb/2011/Sevilla,2011,acb,Juan-Aguilar-39512,Sevilla
David Navarro,Valencia,16,9.8,10.0,2.4,10.0,-0.06,3.6,72.4,5.0%,0.84,0.84,0.30,0.21,0.17,/profile/David-Navarro-38329/,/stats/acb/2011/Valencia,2011,acb,David-Navarro-38329,Valencia
Alfonso Sanchez,San Sebastian,28,9.6,0.8,0.9,3.7,-1.33,3.6,70.9,5.0%,0.74,0.58,0.39,0.09,0.29,/profile/Alfonso-Sanchez-38269/,/stats/acb/2011/San%20Sebastian,2011,acb,Alfonso-Sanchez-38269,San%20Sebastian
