Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Marc Salyers,Gravelines,3,23.3,4.3,5.3,0.57,0.37,0.31,0.25,0.63,0.33,0.06,0.20,-6.34,0.3,0.3,2.3,/profile/Marc-Salyers-5119/,/stats/french/2006/Gravelines,2006,french,Marc-Salyers-5119,Gravelines
Chris Bracey,Brest,3,23.3,7.3,8.3,0.76,0.41,0.38,0.16,0.28,0.33,0.04,0.50,-1.78,0.7,0.0,4.3,/profile/Chris-Bracey-38312/,/stats/french/2006/Brest,2006,french,Chris-Bracey-38312,Brest
Tiras Wade,Le Havre,3,23.3,5.7,7.0,0.59,0.36,0.31,0.29,0.48,1.00,0.14,0.60,-4.16,1.0,0.3,2.3,/profile/Tiras-Wade-400/,/stats/french/2006/Le%20Havre,2006,french,Tiras-Wade-400,Le%20Havre
Trevor Harvey,Chalon,9,22.8,6.2,5.4,0.79,0.52,0.52,0.20,0.16,0.78,0.14,0.41,-6.16,0.8,1.1,2.6,/profile/Trevor-Harvey-33321/,/stats/french/2006/Chalon,2006,french,Trevor-Harvey-33321,Chalon
Hiram Fuller,Pau-Orthez,11,22.7,12.8,9.2,1.03,0.57,0.51,0.51,0.00,0.45,0.05,0.50,-2.75,0.6,1.5,3.7,/profile/Hiram-Fuller-2491/,/stats/french/2006/Pau-Orthez,2006,french,Hiram-Fuller-2491,Pau-Orthez
Maurice Bailey,Nancy,24,22.7,11.5,8.0,0.93,0.57,0.49,0.56,0.42,2.63,0.33,1.31,-1.05,1.1,0.0,1.9,/profile/Maurice-Bailey-30820/,/stats/french/2006/Nancy,2006,french,Maurice-Bailey-30820,Nancy
Jimmy Verove,Brest,24,22.6,4.7,4.0,0.84,0.52,0.48,0.29,0.73,2.00,0.50,1.92,1.21,0.5,0.0,2.3,/profile/Jimmy-Verove-38421/,/stats/french/2006/Brest,2006,french,Jimmy-Verove-38421,Brest
Alain Koffi,Le Mans,42,22.4,9.2,7.0,1.00,0.58,0.56,0.27,0.01,0.93,0.13,0.74,-2.93,0.9,1.3,2.5,/profile/Alain-Koffi-300/,/stats/french/2006/Le%20Mans,2006,french,Alain-Koffi-300,Le%20Mans
Mickael Verove,Rouen,28,22.2,4.4,3.7,0.84,0.54,0.49,0.22,0.72,2.71,0.74,2.53,3.32,1.1,0.0,2.2,/profile/Mickael-Verove-38490/,/stats/french/2006/Rouen,2006,french,Mickael-Verove-38490,Rouen
Stephane Dondon,Chalon,39,22.2,6.9,5.4,0.89,0.55,0.50,0.40,0.24,1.18,0.22,0.88,-2.52,0.7,0.1,2.2,/profile/Stephane-Dondon-37074/,/stats/french/2006/Chalon,2006,french,Stephane-Dondon-37074,Chalon
Deron Hayes,Nancy,40,22.2,7.3,6.2,1.03,0.58,0.57,0.04,0.71,1.28,0.21,1.76,0.54,0.5,0.0,1.1,/profile/Deron-Hayes-36664/,/stats/french/2006/Nancy,2006,french,Deron-Hayes-36664,Nancy
Ryan Hoover,Nancy,12,21.6,6.4,5.8,0.81,0.53,0.51,0.10,0.81,1.33,0.23,0.76,-3.79,0.9,0.0,2.5,/profile/Ryan-Hoover-32764/,/stats/french/2006/Nancy,2006,french,Ryan-Hoover-32764,Nancy
Olivier Bardet,Cholet,14,21.6,8.2,6.9,0.97,0.57,0.55,0.13,0.57,1.79,0.26,1.56,0.23,0.9,0.1,1.9,/profile/Olivier-Bardet-37542/,/stats/french/2006/Cholet,2006,french,Olivier-Bardet-37542,Cholet
Turner Battle,Brest,7,21.6,6.4,7.7,0.61,0.37,0.32,0.26,0.44,2.43,0.31,1.31,-1.03,0.4,0.1,2.1,/profile/Turner-Battle-30216/,/stats/french/2006/Brest,2006,french,Turner-Battle-30216,Brest
