Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Aaron Cel,Le Mans,1,5.0,0.0,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.32,0.0,0.0,0.0,/profile/Aaron-Cel-38257/,/stats/eurocup/2006/Le%20Mans,2006,eurocup,Aaron-Cel-38257,Le%20Mans
Javier Lucas,Alicante,2,5.0,3.0,1.5,1.20,0.77,0.67,0.67,0.33,0.50,0.33,1.00,-3.40,0.5,0.0,0.0,/profile/Javier-Lucas-38414/,/stats/eurocup/2006/Alicante,2006,eurocup,Javier-Lucas-38414,Alicante
Nedim Yucel,Besiktas,7,5.0,1.4,0.9,1.25,0.73,0.67,0.33,0.00,0.43,0.50,3.00,2.92,0.1,0.1,1.4,/profile/Nedim-Yucel-38507/,/stats/eurocup/2006/Besiktas,2006,eurocup,Nedim-Yucel-38507,Besiktas
Steven Markovic,Red Star,6,5.0,2.5,1.3,1.07,0.77,0.69,0.50,0.75,0.17,0.13,0.25,-11.15,0.5,0.0,1.8,/profile/Steven-Markovic-490/,/stats/eurocup/2006/Red%20Star,2006,eurocup,Steven-Markovic-490,Red%20Star
Erdem Turetken,Besiktas,8,4.8,0.3,0.5,0.25,0.20,0.00,0.50,0.50,0.50,1.00,1.33,-0.88,0.0,0.0,1.0,/profile/Erdem-Turetken-36700/,/stats/eurocup/2006/Besiktas,2006,eurocup,Erdem-Turetken-36700,Besiktas
Pavels Veselovs,Ventspils,3,4.6,1.7,0.7,1.00,0.54,0.00,3.00,0.50,0.33,0.50,0.00,4.61,0.0,0.3,0.3,/profile/Pavels-Veselovs-38109/,/stats/eurocup/2006/Ventspils,2006,eurocup,Pavels-Veselovs-38109,Ventspils
Milos Borisov,Hemofarm Vrsac,1,4.5,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,2.0,/profile/Milos-Borisov-38058/,/stats/eurocup/2006/Hemofarm%20Vrsac,2006,eurocup,Milos-Borisov-38058,Hemofarm%20Vrsac
Felipe Gomes,Queluz,4,4.4,0.5,1.5,0.29,0.17,0.17,0.00,0.67,0.25,0.17,1.00,-1.88,0.0,0.0,0.8,/profile/Felipe-Gomes-37857/,/stats/eurocup/2006/Queluz,2006,eurocup,Felipe-Gomes-37857,Queluz
Raviv Limonad,Hapoel Jerusalem,8,4.4,1.1,1.0,0.78,0.48,0.44,0.38,0.13,0.25,0.25,1.00,-1.85,0.1,0.1,0.4,/profile/Raviv-Limonad-5633/,/stats/eurocup/2006/Hapoel%20Jerusalem,2006,eurocup,Raviv-Limonad-5633,Hapoel%20Jerusalem
Miroslav Todic,Frankfurt,2,4.3,2.5,1.5,1.00,0.64,0.50,0.67,0.33,1.00,0.67,2.00,3.93,0.5,0.0,0.5,/profile/Miroslav-Todic-38064/,/stats/eurocup/2006/Frankfurt,2006,eurocup,Miroslav-Todic-38064,Frankfurt
Simone Cortesi,Reggio Emilia,1,4.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,2.0,/profile/Simone-Cortesi-38575/,/stats/eurocup/2006/Reggio%20Emilia,2006,eurocup,Simone-Cortesi-38575,Reggio%20Emilia
Caio Torres,Estudiantes,4,3.9,0.5,0.3,0.67,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-12.03,0.0,0.0,1.0,/profile/Caio-Torres-314/,/stats/eurocup/2006/Estudiantes,2006,eurocup,Caio-Torres-314,Estudiantes
Phillip Zwiener,Alba Berlin,4,3.6,0.8,1.0,0.60,0.31,0.25,0.50,0.25,0.00,0.00,0.00,0.00,0.5,0.0,0.8,/profile/Phillip-Zwiener-38535/,/stats/eurocup/2006/Alba%20Berlin,2006,eurocup,Phillip-Zwiener-38535,Alba%20Berlin
Federico Pugi,Reggio Emilia,3,3.5,0.0,0.7,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.3,0.0,0.3,/profile/Federico-Pugi-38360/,/stats/eurocup/2006/Reggio%20Emilia,2006,eurocup,Federico-Pugi-38360,Reggio%20Emilia
Umutcan Ozyildirim,Besiktas,6,3.5,0.2,0.7,0.13,0.09,0.00,1.00,0.75,0.00,0.00,0.00,-9.72,0.0,0.0,0.3,/profile/Umutcan-Ozyildirim-38612/,/stats/eurocup/2006/Besiktas,2006,eurocup,Umutcan-Ozyildirim-38612,Besiktas
Miljan Pupovic,Hemofarm Vrsac,1,3.5,0.0,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.0,/profile/Miljan-Pupovic-38494/,/stats/eurocup/2006/Hemofarm%20Vrsac,2006,eurocup,Miljan-Pupovic-38494,Hemofarm%20Vrsac
