Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Roberto Nunez,Fabriano,17,30.8,18.7,2.4,5.4,43.7%,3.2,9.6,33.1%,4.4,4.9,90.6%,0.4,2.4,2.8,3.6,2.4,0.0,3.6,3.3,/profile/Roberto-Nunez-35591/,/stats/italian/2003/Fabriano,2003,italian,Roberto-Nunez-35591,Fabriano
Nathan Erdmann,Trieste,31,31.2,18.6,3.9,8.9,44.2%,2.6,6.9,37.7%,2.9,3.6,81.6%,1.2,3.1,4.3,2.0,2.6,0.1,3.6,4.0,/profile/Nathan-Erdmann-37519/,/stats/italian/2003/Trieste,2003,italian,Nathan-Erdmann-37519,Trieste
Jerome Allen,Udine,13,34.8,18.6,3.6,6.4,55.6%,2.2,5.2,43.1%,4.7,6.1,77.9%,0.7,5.1,5.8,3.7,2.0,0.1,4.4,2.7,/profile/Jerome-Allen-1481/,/stats/italian/2003/Udine,2003,italian,Jerome-Allen-1481,Udine
Dusan Vukcevic,Siena,41,24.3,18.5,3.1,5.2,58.6%,3.2,7.3,44.1%,2.8,3.6,78.2%,0.7,2.5,3.2,2.3,2.8,0.1,3.0,3.5,/profile/Dusan-Vukcevic-5631/,/stats/italian/2003/Siena,2003,italian,Dusan-Vukcevic-5631,Siena
Lamarr Greer,Napoli,40,35.7,18.5,4.0,8.4,47.8%,2.1,5.9,36.2%,4.2,5.0,82.3%,0.5,4.0,4.5,3.3,2.3,0.1,2.6,2.3,/profile/Lamarr-Greer-36871/,/stats/italian/2003/Napoli,2003,italian,Lamarr-Greer-36871,Napoli
Jorge Garbajosa,Treviso,43,28.3,18.5,4.2,7.1,58.7%,2.0,5.1,39.8%,4.0,5.1,78.8%,2.5,7.2,9.7,2.0,3.4,0.7,2.6,3.7,/profile/Jorge-Garbajosa-5182/,/stats/italian/2003/Treviso,2003,italian,Jorge-Garbajosa-5182,Treviso
Marcelo Nicola,Treviso,44,21.8,18.4,2.5,4.9,50.4%,3.6,7.7,47.1%,2.6,3.9,66.7%,0.9,5.5,6.4,3.2,2.3,0.5,2.6,4.7,/profile/Marcelo-Nicola-35531/,/stats/italian/2003/Treviso,2003,italian,Marcelo-Nicola-35531,Treviso
Antoine Rigaudeau,Virtus Bologna,15,30.5,18.3,3.1,5.9,52.9%,2.8,6.6,42.7%,3.6,3.9,91.1%,0.9,2.7,3.6,2.6,2.0,0.0,3.1,4.4,/profile/Antoine-Rigaudeau-4095/,/stats/italian/2003/Virtus%20Bologna,2003,italian,Antoine-Rigaudeau-4095,Virtus%20Bologna
Charlie Bell,Virtus Bologna,23,31.3,18.2,3.7,9.8,38.1%,2.6,7.2,36.2%,3.0,3.4,87.1%,1.8,2.5,4.3,2.3,2.5,0.1,3.2,2.9,/profile/Charlie-Bell-1648/,/stats/italian/2003/Virtus%20Bologna,2003,italian,Charlie-Bell-1648,Virtus%20Bologna
Tony Williams,Reggio Calabria,42,27.9,18.2,5.2,10.6,48.7%,1.2,3.3,37.1%,4.1,5.9,70.2%,1.9,7.7,9.6,2.0,3.2,0.5,3.8,4.1,/profile/Tony-Williams-25369/,/stats/italian/2003/Reggio%20Calabria,2003,italian,Tony-Williams-25369,Reggio%20Calabria
Tomas Van Den Spiegel,Fortitudo Bologna,37,13.5,17.9,7.0,10.9,64.0%,0.0,0.0,0.0%,4.0,6.2,64.1%,3.4,7.2,10.6,0.2,3.8,1.5,3.5,9.6,/profile/Tomas-Van-Den-Spiegel-5362/,/stats/italian/2003/Fortitudo%20Bologna,2003,italian,Tomas-Van-Den-Spiegel-5362,Fortitudo%20Bologna
Miroslav Radosevic,Roseto,28,19.3,17.9,3.8,6.5,58.1%,2.7,7.6,36.0%,2.1,2.7,77.8%,0.9,3.3,4.3,2.5,2.2,0.2,3.3,4.4,/profile/Miroslav-Radosevic-36955/,/stats/italian/2003/Roseto,2003,italian,Miroslav-Radosevic-36955,Roseto
DeeAndre Hulett,Fabriano,12,33.2,17.9,6.7,10.5,63.8%,0.7,3.0,23.3%,2.4,3.3,72.7%,2.7,2.3,5.0,0.8,2.5,0.8,2.5,3.2,/profile/DeeAndre-Hulett-5328/,/stats/italian/2003/Fabriano,2003,italian,DeeAndre-Hulett-5328,Fabriano
A.J. Guyton,Fortitudo Bologna,21,27.7,17.8,2.9,6.2,46.7%,3.3,8.5,38.7%,2.1,2.8,75.0%,0.6,1.1,1.7,1.8,1.5,0.1,1.8,3.1,/profile/A.j.-Guyton-2670/,/stats/italian/2003/Fortitudo%20Bologna,2003,italian,A.j.-Guyton-2670,Fortitudo%20Bologna
Michail Kakiouzis,Siena,18,24.3,17.7,5.1,8.2,61.4%,1.4,3.6,39.5%,3.4,4.2,80.0%,3.2,4.7,7.9,0.8,2.5,0.0,1.6,3.4,/profile/Michail-Kakiouzis-5543/,/stats/italian/2003/Siena,2003,italian,Michail-Kakiouzis-5543,Siena
Dante Calabria,Treviso,15,20.8,17.6,2.5,4.3,57.1%,3.5,6.5,53.8%,2.2,2.2,100.0%,1.6,4.3,6.0,1.7,1.9,0.1,2.1,4.5,/profile/Dante-Calabria-35863/,/stats/italian/2003/Treviso,2003,italian,Dante-Calabria-35863,Treviso
Michael Andersen,Napoli,41,26.8,17.5,7.4,12.0,61.4%,0.0,0.0,0.0%,2.7,4.0,67.3%,3.5,5.8,9.4,1.1,2.1,0.9,3.0,4.9,/profile/Michael-Andersen-35539/,/stats/italian/2003/Napoli,2003,italian,Michael-Andersen-35539,Napoli
Roberto Chiacig,Siena,41,27.6,17.4,6.3,11.3,55.9%,0.0,0.0,0.0%,4.8,8.2,58.9%,3.2,8.8,12.0,1.3,2.8,1.4,3.3,3.1,/profile/Roberto-Chiacig-36374/,/stats/italian/2003/Siena,2003,italian,Roberto-Chiacig-36374,Siena
Keith McLeod,Livorno,30,29.2,17.4,3.9,8.2,48.1%,1.7,5.1,33.6%,4.4,5.6,79.8%,0.9,1.8,2.7,2.6,3.6,0.1,3.2,3.5,/profile/Keith-McLeod-3541/,/stats/italian/2003/Livorno,2003,italian,Keith-McLeod-3541,Livorno
Dusan Jelic,Avellino,34,22.4,17.3,7.0,13.5,51.5%,0.1,0.5,20.0%,3.1,5.0,61.2%,3.2,5.7,8.9,1.1,1.9,1.3,4.1,5.7,/profile/Dusan-Jelic-35908/,/stats/italian/2003/Avellino,2003,italian,Dusan-Jelic-35908,Avellino
Daniel Santiago,Roma,42,29.3,17.3,6.9,12.0,57.4%,0.0,0.1,33.3%,3.3,5.5,61.0%,2.9,8.3,11.3,1.4,3.9,2.0,3.8,5.4,/profile/Daniel-Santiago-5359/,/stats/italian/2003/Roma,2003,italian,Daniel-Santiago-5359,Roma
