RSCI_Rank,Player,Draft_Pick,Draft_Year,NBA_EWA,Player_Link,Rank_Year,DX_Player_ID
73,"			
												Justin Davis
											","
											"," 
											",-,/profile/Justin-Davis-25062/,1999,Justin-Davis-25062
74,"			
												Courtland Freeman
											","
											"," 
											",-,/profile/Courtland-Freeman-31474/,1999,Courtland-Freeman-31474
75,"			
												Tahj Holden
											","
											"," 
											",-,/profile/Tahj-Holden-32986/,1999,Tahj-Holden-32986
75,"			
												Ricky Wright
											","
											"," 
											",-,/profile/Ricky-Wright-32290/,1999,Ricky-Wright-32290
77,"			
												Rodney White
											","
													9
											"," 
												2001
											",0.48,/profile/Rodney-White-4840/,1999,Rodney-White-4840
78,"			
												Jon Oden
											","
											"," 
											",-,/profile/Jon-Oden-34982/,1999,Jon-Oden-34982
79,"			
												Jamario Moon
											","
											"," 
											",1.04,/profile/Jamario-Moon-5186/,1999,Jamario-Moon-5186
79,"			
												Ray Henderson
											","
											"," 
											",-,/profile/Ray-Henderson-33512/,1999,Ray-Henderson-33512
81,"			
												Clifford Crawford
											","
											"," 
											",-,/profile/Clifford-Crawford-32815/,1999,Clifford-Crawford-32815
82,"			
												Oudie Baker
											","
											"," 
											",-,/profile/Oudie-Baker-32580/,1999,Oudie-Baker-32580
82,"			
												Jon Higgins
											","
											"," 
											",-,/profile/Jon-Higgins-32436/,1999,Jon-Higgins-32436
84,"			
												Marquis Daniels
											","
											"," 
											",1.19,/profile/Marquis-Daniels-2134/,1999,Marquis-Daniels-2134
85,"			
												Shawnson Johnson
											","
											"," 
											",-,/profile/Shawnson-Johnson-30986/,1999,Shawnson-Johnson-30986
85,"			
												Zach Johnson
											","
											"," 
											",-,/profile/Zach-Johnson-33055/,1999,Zach-Johnson-33055
87,"			
												John Stewart
											","
											"," 
											",-,/profile/John-Stewart-53422/,1999,John-Stewart-53422
88,"			
												Adam Wolfe
											","
											"," 
											",-,/profile/Adam-Wolfe-32954/,1999,Adam-Wolfe-32954
89,"			
												Marque Perry
											","
											"," 
											",-,/profile/Marque-Perry-5456/,1999,Marque-Perry-5456
89,"			
												Nathan Hair
											","
											"," 
											",-,/profile/Nathan-Hair-53423/,1999,Nathan-Hair-53423
91,"			
												Jarrett Hart
											","
											"," 
											",-,/profile/Jarrett-Hart-31314/,1999,Jarrett-Hart-31314
92,"			
												Marquis Estill
											","
											"," 
											",-,/profile/Marquis-Estill-33108/,1999,Marquis-Estill-33108
