Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Ennis Whatley,1984,1997,G,6-3,177.0,1962-08-11,University of Alabama,/players/w/whatlen01.html,whatlen01,0,75.0
DeJuan Wheat,1998,1999,G,6-0,165.0,1973-10-14,University of Louisville,/players/w/wheatde01.html,wheatde01,0,72.0
Clinton Wheeler,1988,1989,G,6-1,185.0,1959-10-27,William Paterson University,/players/w/wheelcl01.html,wheelcl01,0,73.0
Tyson Wheeler,1999,1999,G,5-10,165.0,1975-10-08,University of Rhode Island,/players/w/wheelty01.html,wheelty01,0,70.0
Skippy Whitaker,1955,1955,G,6-1,180.0,1930-08-29,University of Kentucky,/players/w/whitask01.html,whitask01,0,73.0
D.J. White,2009,2014,F,6-9,251.0,1986-08-31,Indiana University,/players/w/whitedj01.html,whitedj01,0,81.0
Eric White,1988,1989,F,6-8,200.0,1965-12-30,Pepperdine University,/players/w/whiteer01.html,whiteer01,0,80.0
Herb White,1971,1971,G,6-2,195.0,1948-06-15,University of Georgia,/players/w/whitehe01.html,whitehe01,0,74.0
Hubie White,1963,1971,G-F,6-4,205.0,1940-01-26,Villanova University,/players/w/whitehu01.html,whitehu01,0,76.0
Jahidi White,1999,2005,F-C,6-9,290.0,1976-02-19,Georgetown University,/players/w/whiteja01.html,whiteja01,0,81.0
James White,2007,2013,G-F,6-7,200.0,1982-10-21,University of Cincinnati,/players/w/whiteja02.html,whiteja02,0,79.0
Jo Jo White,1970,1981,G,6-3,190.0,1946-11-16,University of Kansas,/players/w/whitejo01.html,whitejo01,1,75.0
Okaro White,2017,2017,F,6-8,204.0,1992-08-13,Florida State University,/players/w/whiteok01.html,whiteok01,0,80.0
Randy White,1990,1994,F,6-8,240.0,1967-11-04,Louisiana Tech University,/players/w/whitera01.html,whitera01,0,80.0
Rodney White,2002,2005,F,6-9,238.0,1980-06-28,University of North Carolina at Charlotte,/players/w/whitero02.html,whitero02,0,81.0
Rory White,1983,1987,F,6-8,210.0,1959-08-16,University of South Alabama,/players/w/whitero01.html,whitero01,0,80.0
Royce White,2014,2014,F,6-8,270.0,1991-04-10,Iowa State University,/players/w/whitero03.html,whitero03,0,80.0
Rudy White,1976,1981,G,6-2,195.0,1953-06-23,Arizona State University,/players/w/whiteru01.html,whiteru01,0,74.0
Tony White,1988,1988,G,6-2,170.0,1965-02-15,University of Tennessee,/players/w/whiteto01.html,whiteto01,0,74.0
Willie White,1985,1986,G,6-3,195.0,1962-08-20,University of Tennessee at Chattanooga,/players/w/whitewi01.html,whitewi01,0,75.0
Isaiah Whitehead,2017,2017,G,6-4,213.0,1995-03-08,Seton Hall University,/players/w/whiteis01.html,whiteis01,0,76.0
Jerome Whitehead,1979,1989,C-F,6-10,220.0,1956-09-30,Marquette University,/players/w/whiteje01.html,whiteje01,0,82.0
Donald Whiteside,1997,1998,G,5-10,160.0,1969-04-25,Northern Illinois University,/players/w/whitedo01.html,whitedo01,0,70.0
Hassan Whiteside,2011,2017,C,7-0,265.0,1989-06-13,Marshall University,/players/w/whiteha01.html,whiteha01,0,84.0
Dwayne Whitfield,1996,1996,F,6-9,240.0,1972-08-21,Jackson State University,/players/w/whitfdw01.html,whitfdw01,0,81.0
Chris Whitney,1994,2004,G,6-0,168.0,1971-10-05,Clemson University,/players/w/whitnch01.html,whitnch01,0,72.0
Hank Whitney,1968,1970,F-C,6-7,230.0,1939-04-28,Iowa State University,/players/w/whitnha01.html,whitnha01,0,79.0
