Bref_ID,Sref_Cbb_ID
cookqu01,quinn-cook-1
cookeda01,david-cooke-1
cookejo01,
cooleja01,jack-cooley-1
coopech01,
coopedu01,duane-cooper-1
coopejo01,joe-cooper-1
coopemi01,michael-cooper-1
coopewa01,wayne-cooper-1
copato01,tom-copa-1
copelch01,chris-copeland-1
copelho01,hollis-copeland-1
copella01,lanard-copeland-1
corbity01,tyrone-corbin-1
corchch01,chris-corchiani-1
corleke01,
corlera01,
corzida01,dave-corzine-1
costela01,larry-costello-1
cottobr01,bryce-cotton-1
cottoja01,
cottoja02,james-cotton-2
coughjo01,john-coughran-1
countme01,
courtst01,
courtjo01,joe-courtney-1
cousima01,marcus-cousin-1
couside01,demarcus-cousins-1
cousybo01,bob-cousy-1
covinro01,robert-covington-1
cowenda01,dave-cowens-1
coxch01,chubby-cox-1
coxjo01,
coxwe01,
crabbal01,allen-crabbe-1
crawfch01,chris-crawford-1
crawffr01,
crawfja01,jamal-crawford-1
crawfjo01,joe-crawford-1
crawfjo02,jordan-crawford-1
creigji01,
creviro01,ron-crevier-1
crislha01,
crispjo01,joe-crispin-1
crissch01,charlie-criss-1
critcru01,
critewi01,winston-crite-1
crittja01,javaris-crittenton-1
crockdi01,
croftbo01,
crompge01,geoff-crompton-1
crosbte01,terry-crosby-1
croshau01,austin-croshere-1
crossje01,jeff-cross-1
crosspe01,
crossru01,russell-cross-1
crossch01,
crottjo01,john-crotty-1
crowbi01,
crowma01,
crowdco01,
crowdja01,jae-crowder-1
cuetoal01,
cummipa01,pat-cummings-1
cummite01,terry-cummings-1
cummivo01,vonteego-cummings-1
cunnibi01,billy-cunningham-1
cunnida01,dante-cunningham-1
cunnidi01,
cunnija01,jared-cunningham-2
cunniwi01,william-cunningham-1
curcira01,
curear01,
curetea01,
curlebi01,bill-curley-1
currafr01,
curryde01,dell-curry-1
curryed01,
curryja01,jameson-curry-1
currymi01,michael-curry-1
curryse01,seth-curry-1
curryst01,stephen-curry-1
cvetkra01,
dantomi01,
dabicmi01,
dahleed01,
dailequ01,
dalemsa01,samuel-dalembert-1
dallmho01,
dampier01,erick-dampier-1
dampilo01,
dandrbo01,
daniean01,antonio-daniels-1
danieer01,erik-daniels-1
daniell01,
daniema01,marquis-daniels-1
danieme01,mel-daniels-1
danietr01,troy-daniels-1
danilsa01,
dantlad01,adrian-dantley-1
darcepe01,
dardeji01,
